row,type,id,name,desc
2,Magnitude,marimekko,Marimekko,A good way of showing the size and proportion of data at the same time - as long as the data are not too complicated
2,Magnitude,proportional-symbol,Proportional symbol,"Use when there are big variations between values and/or seeing fine dierences between data is not so important"
3,Magnitude,isotype,Isotype (pictogram),Excellent solution in some instances - use only with whole numbers (do not slice off an arm to represent a decimal).
3,Magnitude,lollipop-2,Lollipop,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
3,Magnitude,radar,Radar,A space-efficient way of showing value pf multiple variables -  but make sure they are organised in a way that makes sense to reader.
4,Magnitude,parallel-coordinates,Parallel coordinates,"An alternative to radar charts - again, the arrngement of the variables is important. Usually benefits from highlighting values"
4,Magnitude,bullet,Bullet,Good for showing a measurement against the context of a target or performance range
4,Magnitude,grouped-symbol,Grouped symbol,An alternative to bar/column charts when being able to count data or highlight individual elements is useful.
1,Part-to-whole,stacked-column,Stacked column,A simple way of showing part-to-whole relationships but can be difficult to read with more than a few components
1,Part-to-whole,marimekko-2,Marimekko,A good way of showing the size and proportion of data at the same time as long as the data are not too complicated.
1,Part-to-whole,pie,Pie,A common way of showing part-to-whole data - but be aware that it's difficult to accurately compare the size of the segments.
1,Part-to-whole,donut,Donut,Similar to a pie chart - but the centre can be a good way of making space to include more information about the data (eg. total)
2,Part-to-whole,treemap,Treemap,Use for hierarchical part-to-whole relationships; can be difficult to read when there are many small segments
2,Part-to-whole,voronoi,Voronoi,A way of turning points into areas - any point within the area is closer to the central point than any other point
2,Part-to-whole,arc,Arc,"A hemicycle, often used for visualising political results."
3,Part-to-whole,gridplot,Gridplot,"Good for showing % information, they work best when used on whole numbers and work well in multiple layout form."
3,Part-to-whole,venn,Venn,Generally only used for schematic representation
3,Part-to-whole,waterfall,Waterfall,Can be useful for showing part-to-whole relationships where some of the components are negative.
1,Spatial,basic-choropleth,Basic choropleth (rate/ratio),The standard approach for putting data on a map - should always be rates rather than totals and use a sensible base geography.
1,Spatial,proportional-symbol-map,Proportional symbol (count/magnitude),Use for totals rather than rates  - be wary that small differences in data will be hard to see.
1,Spatial,flow-map,Flow map,For showing unambiguous movement across a map
2,Spatial,contour-map,Contour map,For showing areas of equal value on a map. Can use deviation colour schemes for showing +/- values
2,Spatial,equalised-cartogram,Equalised cartogram,Converting each unit on a map to a regular and equally-sized shape - good for representing voting regions with equal share.
2,Spatial,scaled-cartogram,Scaled cartogram (value),Stretching and shrinking a map so that each area is sized according to a particular value.
3,Spatial,dot-density,Dot density,Used to show the location of individual events/locations - make sure to annotate any patterns the reader should see.
3,Spatial,heat-map,Heat map,Grid-based data values mapped with an intensity colour scale. As choropleth map - but not snapped to an admin/political unit.
1,Flow,sankey,Sankey,Shows changes in flows from one condition to at least one other; good for tracing the eventual outcome of a complex process.
1,Flow,waterfall-2,Waterfall,"Designed to show the sequencing of data through a flow process, typically budgets. Can include +/- components"
2,Flow,chord,Chord,A complex but powerful diagram which can illustrate 2-way flows (and net winner) in a matrix
2,Flow,network,Network,Used for showing the complexity and inter-connectdness of relationships of varying types.
